archivo,ruta,media,desviacion
atitlan_2025-07.tif,/content/data_tif/atitlan_2025-07.tif,3537.674320002302,1999.109333312191
amatitlan_2025-06.tif,/content/data_tif/amatitlan_2025-06.tif,2411.2464494194624,1159.3727792326358
amatitlan_2025-01.tif,/content/data_tif/amatitlan_2025-01.tif,5759.674592661492,2369.679288025527
atitlan_2025-04.tif,/content/data_tif/atitlan_2025-04.tif,-2976.231962515491,15390.451621823577
atitlan_2025-05.tif,/content/data_tif/atitlan_2025-05.tif,3585.9571277966984,5890.85915969513
amatitlan_2025-03.tif,/content/data_tif/amatitlan_2025-03.tif,2321.979665148502,3375.803653750175
atitlan_2025-02.tif,/content/data_tif/atitlan_2025-02.tif,3658.430482534808,6050.274583854398
atitlan_2025-06.tif,/content/data_tif/atitlan_2025-06.tif,4400.240709963488,1202.9078260892018
amatitlan_2025-02.tif,/content/data_tif/amatitlan_2025-02.tif,2776.0484885175442,7873.638895260331
amatitlan_2025-04.tif,/content/data_tif/amatitlan_2025-04.tif,-2798.661828853679,14340.193006533818
atitlan_2025-01.tif,/content/data_tif/atitlan_2025-01.tif,-7703.260888149867,16388.235045780446
amatitlan_2025-05.tif,/content/data_tif/amatitlan_2025-05.tif,2863.66466899737,1561.7715257738703
atitlan_2025-03.tif,/content/data_tif/atitlan_2025-03.tif,-6439.008752001911,16591.1931386773
amatitlan_2025-07.tif,/content/data_tif/amatitlan_2025-07.tif,3631.7576937263457,2194.1515562514574
